,address,price,date,bedrooms,bathrooms,parking_spaces,land_size,land_size_unit,propertyType,url,houseFeatures,schoolsDistance,schoolsCount,salesHistory
0,1/22-golden-avenue-werribee-vic-3030,400000,22-Nov-2021,2,2,1,-1,None,House,https://www.domain.com.au/1-22-golden-avenue-werribee-vic-3030-2017094312,"Air conditioning*-""Built in wardrobes*""-""Gas*""-""Internal Laundry*""-""Secure Parking*""-""Heating*""-""Study*""-""Shed*""-""Fully fenced*""-""Ensuite""",0.4-0.7-1.1,3,
1,8-flourish-way-werribee-vic-3030,445000,03-Nov-2021,2,1,1,130,m2,House,https://www.domain.com.au/8-flourish-way-werribee-vic-3030-2017340123,,0.4-3-2.1,3,Nov/2021/445000.0/SOLD
2,40-carter-avenue-werribee-vic-3030,575000,26-Oct-2021,2,1,1,-1,None,House,https://www.domain.com.au/40-carter-avenue-werribee-vic-3030-2017297227,,0.3-0.6-0.3,3,Oct/2021/575000.0/SOLD-Jul/2020/445000.0/SOLD-Aug/2015/407000.0/SOLD
3,11-perez-court-werribee-vic-3030,478000,20-Oct-2021,2,1,1,501,m2,House,https://www.domain.com.au/11-perez-court-werribee-vic-3030-2017418748,,0.3-1.4-0.2,3,Oct/2021/478000.0/SOLD-Mar/2006/190000.0/SOLD
4,115-market-road-werribee-vic-3030,500000,18-Oct-2021,2,1,2,535,m2,House,https://www.domain.com.au/115-market-road-werribee-vic-3030-2016332957,,0.4-1-1.1,3,Oct/2021/500000.0/SOLD
5,4/22-26-glen-street-werribee-vic-3030,375000,09-Oct-2021,2,1,2,-1,None,House,https://www.domain.com.au/4-22-26-glen-street-werribee-vic-3030-2017238916,"Gas*-""Bath*""-""Heating*""-""Dishwasher*""-""Garden*""",1.1-1.1-0.8,3,
6,52/150-168-bulban-road-werribee-vic-3030,245000,06-Oct-2021,2,1,1,-1,None,Retirement Living,https://www.domain.com.au/52-150-168-bulban-road-werribee-vic-3030-2017112654,,1.2-3.3-2.3,3,
7,6-cottrell-street-werribee-vic-3030,800000,04-Oct-2021,2,1,2,534,m2,House,https://www.domain.com.au/6-cottrell-street-werribee-vic-3030-2017243463,,1-1.1-0.7,3,Sep/2021/350.0/SOLD
8,1-perez-court-werribee-vic-3030,390000,28-Sep-2021,2,1,1,337,m2,House,https://www.domain.com.au/1-perez-court-werribee-vic-3030-2017033282,,0.3-1.5-0.1,3,Sep/2021/390000.0/SOLD
9,63b-high-street-werribee-vic-3030,475000,28-Sep-2021,2,2,1,-1,None,House,https://www.domain.com.au/63b-high-street-werribee-vic-3030-2017253819,Study,0.6-1.3-1.2,3,Sep/2021/475000.0/SOLD
10,2/39-songlark-crescent-werribee-vic-3030,382000,26-Aug-2021,2,1,1,308,m2,House,https://www.domain.com.au/2-39-songlark-crescent-werribee-vic-3030-2017154878,,0.8-1.8-0.8,3,
11,3-glen-street-werribee-vic-3030,680000,17-Aug-2021,2,1,1,713,m2,House,https://www.domain.com.au/3-glen-street-werribee-vic-3030-2017387985,,1.1-1.2-0.8,3,Aug/2021/680000.0/SOLD-Mar/2017/310.0/SOLD
12,3-glen-street-werribee-vic-3030,680000,17-Aug-2021,2,1,1,713,m2,House,https://www.domain.com.au/3-glen-street-werribee-vic-3030-2017171620,"Built in wardrobes*-""Gas*""-""Secure Parking*""-""Garden*""",1.1-1.2-0.8,3,Aug/2021/680000.0/SOLD-Mar/2017/310.0/SOLD
13,12-bridge-street-werribee-vic-3030,800000,31-Jul-2021,2,1,1,487,m2,House,https://www.domain.com.au/12-bridge-street-werribee-vic-3030-2017081914,,0.4-0.7-0.2,3,Jul/2021/800000.0/SOLD-Jul/2017/678000.0/SOLD
14,13/183-shaws-road-werribee-vic-3030,375000,23-Jul-2021,2,1,2,221,m2,House,https://www.domain.com.au/13-183-shaws-road-werribee-vic-3030-2017128065,,0.8-1.3-1.6,3,
15,11-riverglen-drive-werribee-vic-3030,435500,02-Jul-2021,2,1,1,269,m2,House,https://www.domain.com.au/11-riverglen-drive-werribee-vic-3030-2017036106,,0.8-1.3-1.8,3,Jun/2021/435500.0/SOLD-Mar/2017/340000.0/SOLD-Mar/2011/273000.0/SOLD
16,2/122-rosella-avenue-werribee-vic-3030,370000,24-Jun-2021,2,1,1,227,m2,House,https://www.domain.com.au/2-122-rosella-avenue-werribee-vic-3030-2017021398,,0.8-1.7-1,3,
17,9-centre-avenue-werribee-vic-3030,440000,11-Jun-2021,2,1,1,545,m2,House,https://www.domain.com.au/9-centre-avenue-werribee-vic-3030-2016871930,,0.6-1-0.9,3,May/2021/440000.0/SOLD-May/2012/209000.0/SOLD
18,80-duncans-road-werribee-vic-3030,890000,29-May-2021,2,1,15,849,m2,House,https://www.domain.com.au/80-duncans-road-werribee-vic-3030-2016983053,,0.2-0.8-0.6,3,May/2021/280.0/SOLD
19,32/22-ventosa-way-werribee-vic-3030,366000,14-May-2021,2,1,1,-1,None,House,https://www.domain.com.au/32-22-ventosa-way-werribee-vic-3030-2016892448,"Air conditioning*-""Built in wardrobes*""-""Secure Parking*""-""Heating*""-""Garden*""",0.6-1.2-1.5,3,
20,20a-walls-road-werribee-vic-3030,485000,03-May-2021,2,1,1,283,m2,House,https://www.domain.com.au/20a-walls-road-werribee-vic-3030-2017116078,,0.5-1.7-1.2,3,May/2021/485000.0/SOLD-May/2016/330.0/SOLD
21,20a-walls-road-werribee-vic-3030,485000,01-May-2021,2,1,1,283,m2,House,https://www.domain.com.au/20a-walls-road-werribee-vic-3030-2016917267,"Shed-""Ducted Heating""-""Gas Heating""-""Split System AirCon""-""Water Tank""",0.5-1.7-1.2,3,May/2021/485000.0/SOLD-May/2016/330.0/SOLD
22,9-retreat-place-werribee-vic-3030,455000,22-Apr-2021,2,1,2,-1,None,House,https://www.domain.com.au/9-retreat-place-werribee-vic-3030-2016946891,"Built in wardrobes*-""Gas*""-""Garden*""",0.9-0.9-0.6,3,Apr/2021/455000.0/SOLD-Jul/2018/420000.0/SOLD
23,3/11-melita-avenue-werribee-vic-3030,365000,10-Apr-2021,2,1,1,-1,None,House,https://www.domain.com.au/3-11-melita-avenue-werribee-vic-3030-2016872449,"Built in wardrobes-""Close to schools""-""Close to shops""-""Close to transport""-""Garden""-""Secure Parking""",0.5-1.3-0.8,3,
24,13-yutika-street-werribee-vic-3030,325000,23-Mar-2021,2,1,1,-1,None,House,https://www.domain.com.au/13-yutika-street-werribee-vic-3030-2016815932,"Built in wardrobes-""Close to schools""-""Close to shops""-""Close to transport""",0.7-3-4.4,3,Mar/2021/325000.0/SOLD-Nov/2016/277711.0/SOLD
25,5/3-11-retford-close-werribee-vic-3030,365000,23-Mar-2021,2,1,1,-1,None,House,https://www.domain.com.au/5-3-11-retford-close-werribee-vic-3030-2016735034,"Built in wardrobes*-""Internal Laundry*""-""Secure Parking*""-""Heating*""-""Dishwasher*""-""Garden*""",0.5-1.7-0.2,3,
26,2/28-edgar-street-werribee-vic-3030,275000,23-Mar-2021,2,1,2,212,m2,House,https://www.domain.com.au/2-28-edgar-street-werribee-vic-3030-2016833018,"Close to schools-""Close to shops""-""Close to transport""-""Garden""-""Secure Parking""",0.5-1.1-0.5,3,
27,53-queensbury-way-werribee-vic-3030,484000,12-Mar-2021,2,1,2,576,m2,House,https://www.domain.com.au/53-queensbury-way-werribee-vic-3030-2016858603,"Fireplace(s)*-""Heating*""-""Dishwasher*""-""Shed*""-""Garden*""-""Balcony / Deck*""",1-1.6-2,3,Mar/2021/484000.0/SOLD-Aug/2007/210000.0/SOLD-Feb/1988/25500.0/SOLD
28,30-myrtle-street-werribee-vic-3030,432500,05-Mar-2021,2,1,1,635,m2,House,https://www.domain.com.au/30-myrtle-street-werribee-vic-3030-2016751107,"Close to schools-""Close to shops""-""Close to transport""-""Garden""",0.4-0.7-1.1,3,Feb/2021/432500.0/SOLD
29,3-harogen-drive-werribee-vic-3030,410000,22-Feb-2021,2,1,1,-1,None,House,https://www.domain.com.au/3-harogen-drive-werribee-vic-3030-2016806618,"Close to schools-""Close to shops""-""Close to transport""-""Garden""-""Secure Parking""",0.8-3.9-3,3,Feb/2021/410000.0/SOLD-Dec/2016/184000.0/SOLD
30,7/5-6-trinca-court-werribee-vic-3030,435000,12-Feb-2021,2,2,1,-1,None,House,https://www.domain.com.au/7-5-6-trinca-court-werribee-vic-3030-2016533412,,0.1-0.9-0.6,3,
31,8-gaudin-court-werribee-vic-3030,486500,01-Feb-2021,2,1,2,510,m2,House,https://www.domain.com.au/8-gaudin-court-werribee-vic-3030-2016760707,"Air conditioning*-""Built in wardrobes*""-""Gas*""-""Secure Parking*""-""Heating*""-""Dishwasher*""-""Garden*""-""Solar panels*""-""Study""",0.9-2.9-2.1,3,Feb/2021/486500.0/SOLD-May/1993/87900.0/SOLD
32,4-koombahla-court-werribee-vic-3030,446850,26-Nov-2020,2,2,1,-1,None,House,https://www.domain.com.au/4-koombahla-court-werribee-vic-3030-2016652733,"Secure Parking*-""Heating*""-""Dishwasher*""-""Garden*""",1.6-2.4-2,3,Nov/2020/446850.0/SOLD
33,4-hinkley-place-werribee-vic-3030,530000,18-Nov-2020,2,2,2,300,m2,House,https://www.domain.com.au/4-hinkley-place-werribee-vic-3030-2016399272,,1.2-2-1.5,3,Nov/2020/530000.0/SOLD-Feb/2011/140000.0/SOLD
34,13-yallaroo-chase-werribee-vic-3030,340000,14-Nov-2020,2,1,1,-1,None,House,https://www.domain.com.au/13-yallaroo-chase-werribee-vic-3030-2016414880,"Close to schools-""Close to shops""-""Close to transport""",0.8-3.2-4.3,3,Nov/2020/340000.0/SOLD-May/2017/283387.0/SOLD
35,19/5-ovens-court-werribee-vic-3030,375000,11-Nov-2020,2,1,1,-1,None,House,https://www.domain.com.au/19-5-ovens-court-werribee-vic-3030-2016599007,"Close to schools-""Close to shops""-""Close to transport""",0.6-1.2-0.7,3,
36,7/12-mingos-court-werribee-vic-3030,345000,27-Oct-2020,2,1,1,-1,None,House,https://www.domain.com.au/7-12-mingos-court-werribee-vic-3030-2016363261,"Close to schools-""Close to shops""-""Close to transport""",0.4-1.7-1,3,
37,17b-goegan-street-werribee-vic-3030,394000,12-Aug-2020,2,1,1,-1,None,House,https://www.domain.com.au/17b-goegan-street-werribee-vic-3030-2016408702,"Close to schools-""Close to shops""-""Close to transport""-""Secure Parking""",0.4-1.1-0.9,3,Aug/2020/394000.0/SOLD
38,3/150-168-bulban-road-werribee-vic-3030,220000,18-Jul-2020,2,1,1,150,m2,Retirement Living,https://www.domain.com.au/3-150-168-bulban-road-werribee-vic-3030-2016301881,,1.2-3.3-2.3,3,
39,40-carter-avenue-werribee-vic-3030,445000,17-Jul-2020,2,1,1,320,m2,House,https://www.domain.com.au/40-carter-avenue-werribee-vic-3030-2016124020,,0.3-0.6-0.3,3,Oct/2021/575000.0/SOLD-Jul/2020/445000.0/SOLD-Aug/2015/407000.0/SOLD
40,17b/150-168-bulban-road-werribee-vic-3030,220000,26-Jun-2020,2,1,1,-1,None,House,https://www.domain.com.au/17b-150-168-bulban-road-werribee-vic-3030-2015530507,,1.2-3.3-2.3,3,
41,41/150-168-bulban-road-werribee-vic-3030,240370,16-Jun-2020,2,1,1,-1,None,House,https://www.domain.com.au/41-150-168-bulban-road-werribee-vic-3030-2016271114,,1.2-3.3-2.3,3,
42,1-nicholson-close-werribee-vic-3030,350000,14-May-2020,2,1,1,-1,None,House,https://www.domain.com.au/1-nicholson-close-werribee-vic-3030-2016190137,"Built in wardrobes-""Close to schools""",0.8-1.3-1.8,3,May/2020/350000.0/SOLD
43,14/150-168-bulban-road-werribee-vic-3030,230000,28-Apr-2020,2,1,1,-1,None,House,https://www.domain.com.au/14-150-168-bulban-road-werribee-vic-3030-2016119410,,1.2-3.3-2.3,3,
44,35-carter-avenue-werribee-vic-3030,561000,14-Mar-2020,2,1,1,556,m2,House,https://www.domain.com.au/35-carter-avenue-werribee-vic-3030-2016083017,,0.3-0.6-0.2,3,Mar/2020/350.0/SOLD-May/2017/561000.0/SOLD
45,3-scotsburn-grove-werribee-vic-3030,560000,23-Dec-2019,2,1,2,603,m2,House,https://www.domain.com.au/3-scotsburn-grove-werribee-vic-3030-2015755835,"Ensuite-""Built in wardrobes""-""Floorboards""-""Air-Conditioner""-""Outdoor Entertainment""",1.2-1.3-0.9,3,Dec/2019/560000.0/SOLD-Jul/2018/550000.0/SOLD-Aug/2016/345000.0/SOLD
46,52/150-168-bulban-road-werribee-vic-3030,235000,20-Dec-2019,2,1,1,-1,None,House,https://www.domain.com.au/52-150-168-bulban-road-werribee-vic-3030-2015803854,,1.2-3.3-2.3,3,
47,44-wedge-street-werribee-vic-3030,500000,21-Nov-2019,2,1,1,406,m2,House,https://www.domain.com.au/44-wedge-street-werribee-vic-3030-2015842358,,0.2-0.7-0.3,3,
48,7b/150-168-bulban-road-werribee-vic-3030,230000,10-Nov-2019,2,1,1,-1,None,House,https://www.domain.com.au/7b-150-168-bulban-road-werribee-vic-3030-2015535805,,1.2-3.3-2.3,3,
49,23/18-20-glen-street-werribee-vic-3030,332000,16-Oct-2019,2,1,1,187,m2,House,https://www.domain.com.au/23-18-20-glen-street-werribee-vic-3030-2015733806,,1.1-1.1-0.8,3,
50,1/40-carissa-circuit-werribee-vic-3030,385000,11-Oct-2019,2,1,1,282,m2,House,https://www.domain.com.au/1-40-carissa-circuit-werribee-vic-3030-2015549465,,1-1.5-1.3,3,
51,20-salisbury-street-werribee-vic-3030,800000,11-Oct-2019,2,1,4,613,m2,House,https://www.domain.com.au/20-salisbury-street-werribee-vic-3030-2014995701,,0.5-0.7-0.5,3,Oct/2019/800000.0/SOLD
52,2/42-tyrone-street-werribee-vic-3030,387500,13-Sep-2019,2,1,1,164,m2,House,https://www.domain.com.au/2-42-tyrone-street-werribee-vic-3030-2015400584,,1.1-1.6-1.4,3,
